File Name,Estimated Clock Period,BRAM_18K,DSP,FF,LUT,URAM,BRAM_18K percentage,DSP percentage,FF percentage,LUT percentage
u_d_n_u_d_n_ap__ar_ap__ar_bs,7.04,7,2,3488,1632,0,2.5,0.909090909090909,3.2781954887218,3.06766917293233
d_u_n_d_p_p_ar__ar_ap__ar_bs,7.04,7,1,2384,1633,0,2.5,0.454545454545455,2.2406015037594,3.06954887218045
u_d_d_u_d_p_ar_ap__ap__ar,7.04,6,2,2314,1635,0,2.14285714285714,0.909090909090909,2.17481203007519,3.07330827067669
d_u_d_d_p_u_ar_ap__ap__ar,7.04,6,1,2642,1636,0,2.14285714285714,0.454545454545455,2.48308270676692,3.07518796992481
n_n_n_u_d_n_ap_bs__ar__ar,7.04,6,2,3487,1641,0,2.14285714285714,0.909090909090909,3.27725563909774,3.08458646616541
u_n_u_u_d_n_ar__not__ar,7.04,6,2,3487,1641,0,2.14285714285714,0.909090909090909,3.27725563909774,3.08458646616541
n_n_d_u_d_n_ap_bs__ar__ar,7.04,6,2,3487,1641,0,2.14285714285714,0.909090909090909,3.27725563909774,3.08458646616541
d_n_d_n_d_n_not__ar_ap__ar,7.04,6,2,3487,1641,0,2.14285714285714,0.909090909090909,3.27725563909774,3.08458646616541
d_d_u_u_d_n_ap__ar_ap__ar,7.04,6,2,3487,1641,0,2.14285714285714,0.909090909090909,3.27725563909774,3.08458646616541
n_d_d_p_u_n_bs__not__bs,7.04,7,6,2800,1650,0,2.5,2.72727272727273,2.63157894736842,3.1015037593985
n_d_n_u_d_p_ap__ar_ap__ar_bs,7.04,7,2,2026,1655,0,2.5,0.909090909090909,1.90413533834586,3.1109022556391
n_n_d_d_d_p_ar_bs__ar_ap__ar,7.04,6,2,2772,1661,0,2.14285714285714,0.909090909090909,2.60526315789474,3.12218045112782
d_d_d_p_u_u_ap__ap__not,7.04,6,4,2317,1663,0,2.14285714285714,1.81818181818182,2.17763157894737,3.12593984962406
d_d_d_d_u_d_ar_bs__not__ar_bs,7.038,7,2,3970,1664,0,2.5,0.909090909090909,3.7312030075188,3.12781954887218
d_d_n_u_n_d_ar_bs__ar__ar_bs,7.038,7,2,3970,1664,0,2.5,0.909090909090909,3.7312030075188,3.12781954887218
u_u_u_d_n_d_ar_ap_bs__ar__ar_bs,7.038,7,2,3970,1664,0,2.5,0.909090909090909,3.7312030075188,3.12781954887218
n_n_d_n_u_d_ar_ap_bs__ar_ap__ar_bs,7.038,7,2,3970,1664,0,2.5,0.909090909090909,3.7312030075188,3.12781954887218
d_n_n_n_d_d_ar_ap__not__ar_bs,7.038,7,2,3970,1664,0,2.5,0.909090909090909,3.7312030075188,3.12781954887218
n_u_n_u_u_d_ar_ap__not__ar_bs,7.038,7,2,3970,1664,0,2.5,0.909090909090909,3.7312030075188,3.12781954887218
u_d_d_u_n_d_ar_bs__ar__ar_bs,7.038,7,2,3970,1664,0,2.5,0.909090909090909,3.7312030075188,3.12781954887218
u_u_u_d_u_d_not__ar__ar_bs,7.038,7,2,3970,1664,0,2.5,0.909090909090909,3.7312030075188,3.12781954887218
u_u_u_n_u_d_ap_bs__ar_ap__ar_bs,7.038,7,2,3970,1664,0,2.5,0.909090909090909,3.7312030075188,3.12781954887218
u_n_d_u_p_n_ar_ap__ar__bs,7.04,7,4,2829,1668,0,2.5,1.81818181818182,2.65883458646617,3.13533834586466
n_d_d_p_p_u_ap__ar__bs,7.04,7,4,2829,1668,0,2.5,1.81818181818182,2.65883458646617,3.13533834586466
u_u_d_n_p_u_ar_bs__not__bs,7.04,7,4,2829,1668,0,2.5,1.81818181818182,2.65883458646617,3.13533834586466
n_u_d_p_p_n_not__not__bs,7.04,7,4,2829,1668,0,2.5,1.81818181818182,2.65883458646617,3.13533834586466
d_n_d_p_p_n_not__ar__bs,7.04,7,4,2829,1668,0,2.5,1.81818181818182,2.65883458646617,3.13533834586466
d_d_u_d_n_n_ar__ar__ar_bs,7.04,7,1,3117,1672,0,2.5,0.454545454545455,2.92951127819549,3.14285714285714
u_d_n_d_u_u_ar_ap_bs__ap__ar_bs,7.04,7,1,3117,1672,0,2.5,0.454545454545455,2.92951127819549,3.14285714285714
d_n_n_d_p_u_ar_ap__not__ar_bs,7.04,7,1,3117,1672,0,2.5,0.454545454545455,2.92951127819549,3.14285714285714
d_d_n_d_u_u_ar_bs__ar_ap__ar_bs,7.04,7,1,3117,1672,0,2.5,0.454545454545455,2.92951127819549,3.14285714285714
n_n_d_d_n_u_ar_bs__ap__ar_bs,7.04,7,1,3117,1672,0,2.5,0.454545454545455,2.92951127819549,3.14285714285714
d_d_d_d_u_u_ar_ap__ap__ar_bs,7.04,7,1,3117,1672,0,2.5,0.454545454545455,2.92951127819549,3.14285714285714
u_n_d_d_u_u_ar__ar__ar_bs,7.04,7,1,3117,1672,0,2.5,0.454545454545455,2.92951127819549,3.14285714285714
n_d_d_d_n_n_ar_ap_bs__ar__ar_bs,7.04,7,1,3117,1672,0,2.5,0.454545454545455,2.92951127819549,3.14285714285714
d_n_n_d_u_u_ap__ar_ap__ar_bs,7.04,7,1,3117,1672,0,2.5,0.454545454545455,2.92951127819549,3.14285714285714
n_n_u_n_n_d_bs__ar__ar_bs,7.038,7,3,3973,1672,0,2.5,1.36363636363636,3.73402255639098,3.14285714285714
d_n_d_n_n_d_bs__ap__ar_bs,7.038,7,3,3973,1672,0,2.5,1.36363636363636,3.73402255639098,3.14285714285714
d_u_d_n_d_d_bs__ap__ar_bs,7.038,7,3,3973,1672,0,2.5,1.36363636363636,3.73402255639098,3.14285714285714
u_u_u_n_d_d_bs__ap__ar_bs,7.038,7,3,3973,1672,0,2.5,1.36363636363636,3.73402255639098,3.14285714285714
u_d_u_d_d_d_bs__ar__ar_bs,7.038,7,3,3973,1672,0,2.5,1.36363636363636,3.73402255639098,3.14285714285714
n_d_d_n_d_d_not__ar__ar,7.281,6,2,3970,1679,0,2.14285714285714,0.909090909090909,3.7312030075188,3.15601503759399
d_d_u_u_n_d_ap_bs__not__ar,7.281,6,2,3970,1679,0,2.14285714285714,0.909090909090909,3.7312030075188,3.15601503759399
n_d_u_n_n_d_ar__ar_ap__ar,7.281,6,2,3970,1679,0,2.14285714285714,0.909090909090909,3.7312030075188,3.15601503759399
